Campaign_ID,Launch_Date,Channel,Spend_USD,Clicks,Conversions,ROI_Percent
CMP-01,2025-04-01,Social Media,5000,12000,450,180.5
CMP-02,2025-04-02,Search Ads,8500,25000,920,210.0
CMP-03,2025-04-03,Email,1200,4500,180,250.2
CMP-04,2025-04-04,Social Media,5000,12000,450,180.5
CMP-05,2025-04-05,Influencer,15000,38000,1100,140.0
CMP-06,2025-04-06,Search Ads,9200,28000,1050,225.0
CMP-07,2025-04-08,Video Ads,12500,42000,880,115.8
CMP-08,2025-04-10,Email,1500,5200,210,265.0
CMP-09,2025-04-12,Social Media,6200,15000,560,192.0
CMP-10,2025-04-15,Search Ads,11000,31000,1200,230.0
CMP-11,2025-04-18,Influencer,20000,50000,1400,135.0
CMP-12,2025-04-20,Video Ads,14000,46000,950,120.0
