Transaction_ID,Date,Region,Product_Category,Revenue,Quantity,Customer_Rating
TXN-1001,2025-01-05, North ,Electronics,1200.50,3,4.5
TXN-1002,2025-01-06,South,Clothing,250.00,5,4.0
TXN-1003,01/07/2025,NORTH,Electronics,,2,4.8
TXN-1004,2025-01-08,West,Home & Kitchen,450.75,1,3.9
TXN-1005,2025-01-09,south,Clothing,250.00,5,4.0
TXN-1005,2025-01-09,south,Clothing,250.00,5,4.0
TXN-1006,2025-01-10, East ,Electronics,3100.00,10,5.0
TXN-1007,2025-01-12,WEST,Home & Kitchen,89.99,,3.5
TXN-1008,2025-01-15,North,Clothing,180.20,4,4.1
TXN-1009,2025-01-18,East,Electronics,2200.00,6,4.6
TXN-1010,2025-01-20,North,Home & Kitchen,530.00,2,4.2
TXN-1011,2025-01-22,South,Electronics,1450.00,4,4.4
TXN-1012,2025-01-25,East,Clothing,320.00,3,3.8
TXN-1013,2025-01-28,West,Electronics,4200.00,12,4.9
TXN-1014,2025-02-01,North,Clothing,150.00,2,4.0
TXN-1015,2025-02-03,South,Home & Kitchen,610.00,3,4.3
TXN-1016,2025-02-05,East,Electronics,2800.00,7,4.7
TXN-1017,2025-02-08,West,Clothing,210.00,4,3.9
TXN-1018,2025-02-10,North,Electronics,1900.00,5,4.5
TXN-1019,2025-02-12,South,Home & Kitchen,720.00,4,4.1
TXN-2000,2025-02-15,East,Electronics,15000.00,50,5.0
